0.00	0.272188	0.214384	0.157355	0.115628	0.101490
0.25	0.268525	0.211821	0.155279	0.113260	0.098951
0.50	0.270942	0.213969	0.156842	0.116214	0.101466
0.75	0.272139	0.213921	0.157721	0.116703	0.102271
1.00	0.272481	0.214458	0.157647	0.116800	0.101881
1.25	0.272261	0.214238	0.156646	0.117264	0.101978
1.50	0.272627	0.214897	0.157062	0.117459	0.102516
1.75	0.273555	0.214653	0.157721	0.117289	0.102931
2.00	0.273726	0.214800	0.156573	0.116874	0.103028
2.25	0.273286	0.215263	0.156720	0.116800	0.103346
2.50	0.273018	0.215190	0.156793	0.118241	0.102491
2.75	0.273335	0.215459	0.157306	0.117093	0.102857
3.00	0.272847	0.215312	0.157281	0.117630	0.103443
3.25	0.272822	0.214262	0.156939	0.118119	0.103199
3.50	0.272822	0.214751	0.156598	0.116996	0.103101
3.75	0.272896	0.214873	0.157110	0.117704	0.103077
4.00	0.271650	0.213969	0.157525	0.117215	0.103419
4.25	0.271431	0.213701	0.157672	0.117508	0.103443
4.50	0.271968	0.214067	0.157940	0.117118	0.102589
4.75	0.271357	0.213799	0.157770	0.117655	0.103370
5.00	0.271675	0.213188	0.156842	0.117874	0.102662
5.25	0.272139	0.213921	0.156915	0.117752	0.103199
5.50	0.272041	0.213774	0.156817	0.117874	0.103419
5.75	0.272114	0.213188	0.156842	0.118192	0.102686
6.00	0.271577	0.212798	0.155792	0.118558	0.103272
6.25	0.272261	0.213066	0.156427	0.117850	0.103077
6.50	0.272773	0.213261	0.155816	0.118631	0.103443
6.75	0.272627	0.213432	0.155792	0.118192	0.102857
7.00	0.272847	0.213652	0.155768	0.118167	0.103199
7.25	0.272578	0.214165	0.155694	0.118119	0.102808
7.50	0.271870	0.213676	0.155133	0.117923	0.103321
7.75	0.272334	0.214311	0.155157	0.118167	0.103761
8.00	0.272188	0.214116	0.156012	0.117582	0.103199
8.25	0.271260	0.213872	0.155255	0.118290	0.102467
8.50	0.271113	0.213701	0.155572	0.118045	0.102760
8.75	0.271553	0.213628	0.155743	0.117459	0.102418
9.00	0.271333	0.214287	0.156305	0.117655	0.102955
9.25	0.271480	0.212749	0.155548	0.117557	0.103687
9.50	0.271968	0.212871	0.157257	0.117777	0.103516
9.75	0.272236	0.212407	0.155938	0.117337	0.103077
10.00	0.272090	0.212285	0.156671	0.117435	0.102979
10.25	0.272261	0.211455	0.156720	0.117972	0.103639
10.50	0.271797	0.211821	0.156085	0.117704	0.103053
10.75	0.271821	0.211821	0.155914	0.118021	0.103224
11.00	0.272676	0.212163	0.156573	0.118094	0.102931
11.25	0.272432	0.212529	0.156744	0.117704	0.103175
11.50	0.271577	0.212773	0.156891	0.118558	0.103639
11.75	0.271577	0.212749	0.157013	0.117923	0.103248
12.00	0.271724	0.213847	0.156915	0.118363	0.103053
12.25	0.271455	0.213408	0.156744	0.117679	0.102784
12.50	0.271626	0.214653	0.156402	0.117997	0.102833
12.75	0.271577	0.214629	0.157208	0.118143	0.102955
13.00	0.271528	0.214336	0.156842	0.118143	0.102808
13.25	0.271968	0.214653	0.157477	0.118534	0.102320
13.50	0.271602	0.214360	0.157086	0.117606	0.102760
13.75	0.271333	0.213945	0.157330	0.117289	0.102223
14.00	0.271992	0.213921	0.157232	0.117630	0.104005
14.25	0.271480	0.213750	0.157135	0.117313	0.102857
14.50	0.271992	0.213286	0.157330	0.117020	0.102418
14.75	0.272749	0.213286	0.157355	0.117069	0.102516
15.00	0.273457	0.212627	0.157599	0.117582	0.102198
15.25	0.273042	0.213603	0.157672	0.117044	0.102808
15.50	0.272749	0.213237	0.157428	0.117020	0.101783
15.75	0.273652	0.213115	0.157281	0.117508	0.101978
16.00	0.272773	0.213164	0.157208	0.117459	0.102076
16.25	0.272432	0.213506	0.157306	0.117948	0.102003
16.50	0.272456	0.213017	0.156866	0.117777	0.101515
16.75	0.271675	0.213091	0.158087	0.117557	0.102052
17.00	0.271602	0.212920	0.157232	0.117874	0.101954
17.25	0.270674	0.213310	0.157037	0.117215	0.102198
17.50	0.270454	0.213042	0.157672	0.117582	0.101490
17.75	0.270552	0.213481	0.157037	0.117435	0.101978
18.00	0.269771	0.212895	0.156183	0.117655	0.102418
18.25	0.269478	0.213847	0.156280	0.118241	0.101783
18.50	0.269160	0.213042	0.156427	0.117874	0.101612
18.75	0.268281	0.213408	0.155646	0.117704	0.102076
